member_id,signup_date,home_branch,tier,age,gender,postal_code,marketing_consent
M0001,2026-01-11,B02,Gold,29,M,10330,Y
M0002,2024-09-10,B06,Bronze,34,M,10110,Y
M0003,2024-07-14,B03,Bronze,41,F,10240,N
M0004,2024-12-05,B07,Bronze,31,F,50200,Y
M0005,2026-01-15,B02,Bronze,44,M,10260,N
M0006,2026-01-30,B04,Bronze,29,,10230,Y
M0007,2025-11-14,B02,Gold,32,M,10330,N
M0008,2025-02-25,B01,Bronze,53,M,10230,Y
M0009,2025-05-14,B06,Gold,0,F,10110,N
M0010,2025-10-14,B08,Silver,39,F,50200,N
M0011,2024-04-17,B01,Bronze,28,M,10500,Y
M0012,2025-01-08,B01,Bronze,32,F,10330,Y
M0013,2024-05-01,B03,Silver,22,,10310,Y
M0014,2026-08-13,B03,Bronze,37,F,10230,Y
M0015,2025-11-22,B03,Gold,34,M,10230,N
M0016,2025-10-06,B05,Gold,42,F,10500,N
M0017,2026-01-09,B08,Platinum,30,,50230,N
M0018,2025-02-14,B02,Bronze,31,F,10500,N
M0019,2024-09-07,B07,Silver,38,,50230,Y
M0020,2024-11-13,B06,Bronze,0,F,10330,Y
M0021,2024-09-26,B07,Gold,51,M,50200,N
M0022,2026-03-04,B07,Bronze,35,,50230,Y
M0023,2026-05-28,B06,Silver,26,M,10330,N
M0024,2026-01-09,B04,Gold,0,M,10500,Y
M0025,2026-03-16,B02,Platinum,44,,10230,Y
M0026,2026-03-29,B03,Bronze,45,M,10310,Y
M0027,2024-07-19,B03,Silver,33,F,10500,N
M0028,2024-03-31,B01,Bronze,28,M,10230,Y
M0029,2024-04-04,B06,Silver,47,F,10330,Y
M0030,2024-10-23,B07,Bronze,36,M,50300,Y
M0031,2024-07-15,B04,Gold,35,F,10400,Y
M0032,2026-06-08,B01,Gold,25,F,10240,Y
M0033,2024-03-08,B07,Bronze,43,F,50230,Y
M0034,2024-06-18,B01,Silver,39,M,10900,Y
M0035,2025-05-17,B08,Gold,28,F,50230,N
M0036,2025-04-09,B08,Gold,29,Other,50000,Y
M0037,2026-04-14,B02,Platinum,0,F,10500,Y
M0038,2024-05-11,B03,Silver,47,F,10230,Y
M0039,2024-06-28,B04,Silver,27,F,10260,Y
M0040,2024-11-05,B02,Silver,27,M,10260,N
M0041,2024-08-15,B03,Platinum,20,F,10310,N
M0042,2025-08-26,B07,Bronze,27,M,50230,Y
M0043,2026-07-19,B04,Platinum,28,F,10260,Y
M0044,2026-06-24,B05,Bronze,25,M,10240,Y
M0045,2026-06-25,B07,Gold,28,,50000,Y
