member_id,signup_date,home_branch,tier,age,gender,postal_code,marketing_consent
M0001,2025-05-22,B05,Bronze,25,F,10500,N
M0002,2024-08-09,B08,Bronze,28,,50230,Y
M0003,2024-12-01,B06,Bronze,21,,10310,N
M0004,2024-03-27,B03,Bronze,31,F,10120,N
M0005,2024-02-27,B06,Bronze,33,F,10110,Y
M0006,2026-08-27,B05,Bronze,30,M,10240,Y
M0007,2025-09-22,B02,Silver,34,M,10230,N
M0008,2024-01-01,B03,Platinum,30,F,10240,Y
M0009,2026-07-12,B07,Bronze,44,F,5020,Y
M0010,2024-01-15,B08,Bronze,36,M,50200,N
M0011,2026-02-21,B05,Gold,28,,10260,N
M0012,2025-09-10,B08,Platinum,46,M,50200,Y
M0013,2024-06-30,B08,Bronze,37,F,50230,N
M0014,2024-09-22,B04,Bronze,16,M,10500,Y
M0015,2024-05-24,B02,Gold,33,F,10400,Y
M0016,2024-09-25,B04,Gold,43,M,10230,Y
M0017,2026-08-12,B08,Bronze,20,M,50200,N
M0018,2025-10-02,B01,Silver,38,M,10500,N
M0019,2025-07-04,B04,Bronze,0,M,10330,N
M0020,2024-09-18,B06,Bronze,46,F,10500,Y
M0021,2024-09-15,B07,Bronze,37,M,50100,N
M0022,2025-09-13,B02,Silver,0,M,10110,Y
M0023,2024-09-26,B03,Bronze,25,F,10260,Y
M0024,2026-01-08,B04,Platinum,20,F,10230,Y
M0025,2025-06-02,B02,Gold,36,Other,10500,N
M0026,2026-03-31,B02,Bronze,31,F,10120,Y
M0027,2024-06-05,B01,Silver,0,M,10310,N
M0028,2024-01-03,B04,Silver,50,F,10240,N
M0029,2026-04-05,B04,Gold,27,F,10400,Y
M0030,2026-06-24,B03,Silver,32,F,10260,Y
M0031,2025-01-03,B01,Bronze,40,F,10120,Y
M0032,2025-09-28,B01,Bronze,47,M,10110,Y
M0033,2025-10-11,B01,Silver,43,F,10900,N
M0034,2026-08-17,B08,Silver,0,M,50200,Y
M0035,2026-07-04,B08,Bronze,22,F,50300,Y
M0036,2024-05-08,B05,Platinum,0,,10500,Y
M0037,2026-02-21,B03,Silver,38,F,10500,N
M0038,2024-08-08,B04,Gold,48,F,1011,N
M0039,2026-08-05,B05,Gold,40,F,10240,N
M0040,2025-09-06,B07,Bronze,32,M,50200,Y
M0041,2024-12-14,B02,Bronze,42,,10330,Y
M0042,2026-04-18,B03,Bronze,32,F,10400,Y
M0043,2026-05-16,B08,Silver,21,F,50100,Y
M0044,2026-01-12,B03,Bronze,33,M,10110,Y
M0045,2024-05-18,B01,Gold,31,M,10240,Y
M0046,2025-08-28,B03,Bronze,35,M,10900,N
M0047,2025-02-08,B05,Platinum,32,M,10120,N
M0048,2024-02-08,B01,Gold,21,F,10110,N
M0049,2024-08-10,B08,Silver,33,F,50300,Y
M0050,2025-10-12,B07,Silver,40,,50200,Y
M0051,2024-11-16,B08,Platinum,43,M,50000,N
M0052,2025-08-31,B06,Bronze,24,F,10330,Y
M0053,2025-07-26,B03,Gold,16,F,10120,N
M0054,2025-03-11,B07,Bronze,0,F,50200,Y
M0055,2025-04-10,B05,Silver,36,,10310,Y
M0056,2024-07-25,B06,Platinum,26,F,10310,Y
M0057,2024-08-05,B04,Bronze,42,F,10110,Y
M0058,2025-11-06,B06,Gold,39,M,10330,N
M0059,2025-01-08,B03,Gold,0,M,10260,Y
M0060,2026-07-31,B06,Bronze,31,Other,10400,Y
M0061,2025-07-28,B01,Silver,37,F,10400,N
M0062,2025-10-17,B06,Bronze,43,F,10900,Y
M0063,2026-01-27,B04,Silver,50,F,10310,Y
M0064,2026-03-12,B07,Bronze,26,F,50300,Y
M0065,2026-06-26,B05,Bronze,33,F,10240,Y
M0066,2024-07-29,B03,Bronze,0,F,10120,N
M0067,2025-09-28,B03,Silver,22,F,10240,Y
M0068,2026-08-09,B05,Silver,29,M,10330,Y
M0069,2025-11-24,B02,Platinum,38,F,10260,Y
M0070,2024-10-25,B01,Bronze,17,M,10230,Y
M0071,2024-12-25,B03,Bronze,42,M,10400,Y
M0072,2024-04-09,B05,Bronze,18,F,10240,Y
M0073,2026-03-21,B08,Gold,64,,50300,Y
M0074,2025-04-01,B03,Platinum,34,F,10330,Y
M0075,2024-05-30,B03,Bronze,32,F,10120,N
M0076,2026-02-12,B05,Bronze,44,M,10900,Y
M0077,2024-04-06,B07,Gold,46,M,50300,Y
M0078,2024-07-01,B03,Silver,37,,10260,Y
M0079,2024-03-12,B04,Silver,21,F,10330,Y
M0080,2026-06-20,B06,Silver,33,M,10310,Y
M0081,2026-05-02,B01,Bronze,46,F,10500,N
M0082,2024-01-01,B02,Bronze,45,F,10260,Y
M0083,2025-03-31,B01,Bronze,38,M,10230,Y
M0084,2025-12-29,B07,Silver,20,F,50300,N
M0085,2024-01-08,B03,Bronze,42,Other,10120,Y
M0086,2024-05-01,B07,Silver,28,F,5010,N
M0087,2025-04-30,B08,Bronze,16,,50000,Y
M0088,2024-12-08,B07,Bronze,32,M,50230,Y
M0089,2026-07-19,B03,Bronze,0,F,10230,N
M0090,2024-02-09,B03,Silver,0,M,10900,Y
M0091,2026-05-17,B02,Silver,26,M,10110,Y
M0092,2025-08-05,B05,Bronze,30,M,10120,Y
M0093,2025-06-06,B07,Silver,41,F,50230,Y
M0094,2025-12-11,B05,Bronze,45,F,10900,Y
M0095,2026-07-03,B01,Gold,41,M,10230,Y
M0096,2024-09-27,B04,Gold,47,F,10110,Y
M0097,2026-01-20,B01,Bronze,31,M,10310,Y
M0098,2026-05-25,B05,Bronze,28,,10500,Y
M0099,2024-06-15,B04,Gold,41,F,10110,Y
M0100,2024-08-14,B04,Bronze,37,F,10230,Y
M0101,2025-07-13,B06,Bronze,29,F,10110,N
M0102,2025-05-09,B05,Platinum,38,F,10500,N
M0103,2026-01-28,B03,Silver,38,M,10230,Y
M0104,2025-05-03,B03,Silver,31,F,10240,N
M0105,2025-09-22,B04,Gold,40,F,10260,Y
M0106,2026-02-07,B03,Bronze,41,M,10240,Y
M0107,2025-09-28,B02,Gold,27,F,10110,Y
M0108,2026-03-04,B08,Bronze,31,F,50000,Y
M0109,2026-02-04,B08,Bronze,33,F,50300,N
M0110,2026-01-10,B05,Bronze,47,F,10330,Y
M0111,2026-07-05,B03,Bronze,16,F,10240,N
M0112,2026-03-31,B04,Bronze,43,M,10500,N
M0113,2025-12-04,B04,Silver,31,F,10500,Y
M0114,2025-04-01,B01,Silver,48,,10330,N
M0115,2025-06-07,B04,Silver,36,M,10110,Y
M0116,2026-02-09,B01,Bronze,39,F,10260,N
M0117,2026-06-09,B02,Silver,32,M,10260,N
M0118,2024-05-05,B05,Gold,39,M,10120,N
M0119,2025-08-11,B08,Bronze,31,F,50000,Y
M0120,2025-03-01,B05,Bronze,28,M,10310,Y
M0121,2024-07-21,B03,Silver,0,M,10260,Y
M0122,2026-06-26,B02,Bronze,34,F,10900,Y
M0123,2026-05-28,B06,Gold,45,F,10330,N
M0124,2025-07-21,B07,Bronze,23,F,50000,Y
M0125,2026-07-14,B04,Bronze,31,M,10260,Y
M0126,2026-06-29,B01,Gold,55,F,10120,N
M0127,2025-10-31,B01,Silver,27,F,10260,Y
M0128,2024-04-13,B05,Bronze,44,F,10900,Y
M0129,2024-05-10,B05,Silver,42,F,10240,N
M0130,2025-04-23,B07,Platinum,40,M,50300,Y
M0131,2025-01-18,B06,Bronze,24,M,10110,N
M0132,2025-05-21,B03,Bronze,49,F,10400,N
M0133,2025-04-26,B06,Silver,28,M,10400,Y
M0134,2026-01-04,B01,Bronze,23,,10400,N
M0135,2025-02-22,B01,Silver,0,M,10110,N
M0136,2025-10-16,B02,Bronze,33,M,10120,N
M0137,2024-12-18,B04,Bronze,0,F,10400,Y
M0138,2026-01-08,B02,Silver,38,M,10120,Y
M0139,2025-08-29,B08,Silver,41,Other,50000,Y
M0140,2026-02-22,B02,Bronze,23,Other,10900,Y
M0141,2025-01-21,B04,Silver,28,F,10400,N
M0142,2025-08-11,B02,Silver,16,F,10230,Y
M0143,2024-09-26,B04,Bronze,19,F,10240,Y
M0144,2024-05-05,B04,Silver,23,F,10900,Y
M0145,2024-09-14,B05,Bronze,37,M,10330,Y
M0146,2024-09-28,B05,Bronze,39,,10330,Y
M0147,2024-02-07,B01,Silver,29,M,10330,Y
M0148,2024-03-08,B02,Gold,54,F,10400,Y
M0149,2025-09-04,B08,Bronze,43,M,50200,Y
M0150,2026-01-30,B02,Bronze,33,M,10110,N
M0151,2024-02-09,B03,Bronze,25,F,10330,Y
M0152,2026-03-16,B03,Bronze,18,F,10400,N
M0153,2026-05-20,B08,Bronze,33,,50200,Y
M0154,2025-04-19,B02,Silver,20,M,10110,Y
M0155,2024-11-11,B04,Silver,34,M,10400,Y
M0156,2026-08-09,B03,Silver,0,F,10110,Y
M0157,2025-11-13,B01,Silver,0,F,10110,N
M0158,2026-06-14,B01,Silver,40,M,1040,Y
M0159,2025-01-14,B04,Platinum,0,M,10330,Y
M0160,2024-03-24,B02,Bronze,36,F,10400,Y
M0161,2026-07-18,B05,Bronze,38,F,10230,Y
M0162,2026-04-28,B07,Platinum,16,F,50230,N
M0163,2026-05-05,B05,Bronze,30,M,10120,Y
M0164,2024-05-07,B03,Bronze,23,M,10240,Y
M0165,2026-08-06,B02,Bronze,45,M,10330,Y
M0166,2025-08-05,B01,Platinum,30,F,10230,N
M0167,2026-07-07,B05,Silver,25,M,10900,Y
M0168,2024-02-15,B04,Gold,33,M,10110,Y
M0169,2025-03-05,B07,Bronze,17,F,50300,Y
M0170,2024-03-30,B07,Gold,33,F,50230,N
M0171,2024-04-25,B08,Gold,22,F,50000,Y
M0172,2024-05-20,B02,Silver,41,F,10330,Y
M0173,2024-07-07,B08,Silver,28,M,50300,N
M0174,2026-02-23,B04,Gold,26,F,10900,Y
M0175,2024-02-18,B07,Bronze,29,F,50000,N
M0176,2025-08-21,B05,Silver,29,M,10310,Y
M0177,2025-04-22,B04,Bronze,58,M,10110,Y
M0178,2026-05-13,B04,Bronze,38,M,10230,Y
M0179,2026-06-27,B04,Gold,38,F,10260,N
M0180,2025-10-29,B08,Bronze,0,F,50200,Y
M0181,2025-11-25,B01,Bronze,0,M,10310,Y
M0182,2026-08-14,B06,Bronze,19,M,10400,Y
M0183,2026-04-15,B01,Silver,26,M,10330,Y
M0184,2025-11-15,B08,Silver,37,F,50100,N
M0185,2026-06-21,B05,Gold,22,,10230,N
M0186,2025-10-18,B01,Gold,30,,10500,N
M0187,2024-11-10,B05,Bronze,64,M,10500,Y
M0188,2026-02-17,B02,Bronze,26,F,10240,Y
M0189,2026-03-18,B03,Silver,19,,10310,N
M0190,2026-05-05,B01,Silver,23,F,10240,Y
M0191,2026-05-26,B04,Gold,37,M,10500,Y
M0192,2026-03-22,B07,Gold,37,M,50100,Y
M0193,2024-10-29,B07,Bronze,41,F,50200,Y
M0194,2024-11-07,B05,Silver,0,F,10120,N
M0195,2025-06-21,B04,Bronze,0,F,10120,N
M0196,2024-02-26,B07,Bronze,25,F,50300,Y
M0197,2026-01-06,B03,Gold,35,M,10240,Y
M0198,2024-10-12,B01,Bronze,29,M,10310,N
M0199,2025-01-29,B08,Silver,51,M,50300,N
M0200,2026-06-16,B05,Silver,23,F,10230,Y
M0201,2026-02-03,B02,Bronze,47,F,10310,Y
M0202,2025-05-03,B05,Bronze,26,F,10900,Y
M0203,2025-10-14,B06,Bronze,34,F,10110,Y
M0204,2024-06-30,B08,Gold,4,M,50000,Y
M0205,2026-06-16,B03,Platinum,43,M,10400,Y
M0206,2025-01-05,B05,Bronze,28,M,10900,Y
M0207,2026-01-15,B03,Silver,48,M,10260,Y
M0208,2025-06-17,B01,Gold,43,F,10230,Y
M0209,2025-07-05,B08,Bronze,35,F,50200,Y
M0210,2025-10-06,B03,Bronze,51,F,10330,N
M0211,2026-08-02,B08,Bronze,36,M,50200,N
M0212,2025-08-11,B03,Silver,42,,10120,Y
M0213,2025-03-07,B06,Silver,37,F,10230,Y
M0214,2024-12-29,B03,Silver,0,,10120,Y
M0215,2026-06-11,B08,Bronze,36,F,50000,Y
M0216,2026-02-12,B01,Platinum,41,F,10330,Y
M0217,2024-10-20,B01,Bronze,16,F,10120,Y
M0218,2026-08-03,B03,Bronze,46,,10240,N
M0219,2025-04-07,B06,Bronze,37,Other,10260,N
M0220,2025-12-14,B01,Bronze,38,M,10230,Y
M0221,2025-12-27,B02,Silver,32,F,10110,Y
M0222,2024-12-03,B02,Silver,32,F,10110,N
M0223,2024-01-03,B05,Silver,20,M,10330,Y
M0224,2025-03-13,B07,Gold,29,,50200,Y
M0225,2025-09-12,B07,Bronze,35,F,50230,Y
M0226,2024-10-05,B08,Bronze,0,F,50200,N
M0227,2025-03-17,B05,Silver,34,F,10110,Y
M0228,2025-04-12,B02,Gold,0,M,10240,Y
M0229,2025-11-17,B06,Platinum,37,F,10400,N
M0230,2024-07-04,B05,Silver,44,F,10500,Y
M0231,2026-08-19,B06,Gold,19,F,10110,Y
M0232,2026-08-07,B02,Bronze,32,F,10900,N
M0233,2025-02-17,B02,Bronze,47,Other,10260,Y
M0234,2025-10-06,B01,Bronze,28,F,10240,N
M0235,2025-11-13,B05,Bronze,26,M,10110,Y
M0236,2024-04-16,B01,Silver,24,F,10110,N
M0237,2026-01-29,B01,Silver,21,F,10230,Y
M0238,2025-05-28,B08,Bronze,42,F,50300,N
M0239,2026-08-09,B08,Bronze,22,M,50200,N
M0240,2024-02-01,B05,Platinum,29,,10900,Y
M0241,2025-04-03,B04,Gold,47,F,10120,N
M0242,2025-12-18,B03,Silver,39,M,10120,Y
M0243,2026-04-27,B05,Bronze,16,F,10260,Y
M0244,2026-03-07,B07,Bronze,30,F,50000,Y
M0245,2024-01-22,B03,Platinum,51,M,10310,Y
M0246,2026-05-07,B04,Bronze,46,Other,10240,Y
M0247,2026-01-26,B05,Bronze,35,F,10260,N
M0248,2024-11-19,B05,Gold,22,F,10260,N
M0249,2026-04-14,B05,Gold,42,F,10400,Y
