member_id,signup_date,home_branch,tier,age,gender,postal_code,marketing_consent
M0001,2026-05-14,B07,Gold,35,M,50100,Y
M0002,2026-08-13,B08,Bronze,29,M,50100,Y
M0003,2024-05-29,B03,Gold,27,Other,10120,Y
M0004,2026-02-26,B01,Bronze,31,M,10310,Y
M0005,2026-02-20,B08,Platinum,32,M,50000,Y
M0006,2025-03-06,B08,Gold,0,F,50100,Y
M0007,2025-12-11,B06,Silver,0,,10240,N
M0008,2026-05-03,B06,Bronze,34,M,10900,N
M0009,2025-09-27,B01,Silver,50,F,10120,Y
M0010,2026-05-09,B03,Silver,0,F,10240,Y
M0011,2024-02-10,B02,Gold,31,F,10500,Y
M0012,2025-09-30,B02,Bronze,42,F,10330,N
M0013,2025-12-12,B07,Silver,38,M,50300,N
M0014,2026-08-08,B07,Bronze,46,Other,50200,Y
M0015,2024-10-13,B01,Bronze,22,F,10110,N
M0016,2026-01-21,B08,Bronze,32,M,50300,Y
M0017,2024-02-09,B07,Bronze,0,F,50000,Y
M0018,2026-01-19,B04,Bronze,28,M,10230,Y
M0019,2026-04-12,B03,Gold,28,F,10330,Y
M0020,2026-05-06,B05,Bronze,16,M,10330,N
M0021,2024-01-26,B07,Gold,33,M,50300,N
M0022,2024-04-20,B01,Silver,28,F,10260,Y
M0023,2025-12-04,B02,Bronze,0,M,10330,Y
M0024,2024-06-23,B04,Silver,38,F,10500,Y
M0025,2024-09-04,B05,Bronze,0,M,10240,N
M0026,2024-05-25,B02,Bronze,47,M,10900,N
M0027,2025-11-04,B03,Bronze,29,F,10230,Y
M0028,2024-08-28,B07,Bronze,28,F,50000,Y
M0029,2025-06-17,B01,Bronze,33,M,10330,Y
M0030,2024-05-20,B07,Bronze,40,F,50230,Y
M0031,2024-06-11,B03,Silver,24,M,10260,N
M0032,2024-01-19,B07,Silver,46,,50000,Y
M0033,2026-05-21,B02,Bronze,49,F,10120,N
M0034,2026-07-08,B07,Gold,0,M,50000,Y
M0035,2026-05-14,B03,Bronze,31,M,10400,Y
M0036,2024-07-16,B08,Platinum,58,F,50000,N
M0037,2025-08-19,B04,Bronze,38,F,10500,N
M0038,2024-09-16,B05,Bronze,33,M,10260,Y
M0039,2024-11-25,B08,Silver,39,F,50000,Y
M0040,2026-04-28,B04,Bronze,26,F,10500,Y
M0041,2026-07-13,B04,Silver,40,M,10400,N
M0042,2025-06-17,B06,Gold,0,F,10330,N
M0043,2026-05-19,B05,Silver,27,M,10400,N
M0044,2026-07-14,B01,Platinum,34,F,10310,N
M0045,2024-08-17,B04,Bronze,16,M,10900,Y
M0046,2026-02-11,B01,Silver,34,F,10310,Y
M0047,2026-03-24,B06,Bronze,19,M,10400,Y
M0048,2026-06-01,B04,Bronze,23,F,10260,N
M0049,2024-01-07,B06,Platinum,39,M,10400,Y
M0050,2024-03-09,B08,Bronze,36,F,50230,Y
M0051,2024-03-20,B05,Bronze,49,F,10120,Y
M0052,2024-03-01,B01,Bronze,32,M,10230,Y
M0053,2026-01-26,B07,Bronze,32,M,50230,N
M0054,2025-01-08,B02,Silver,0,M,10110,N
M0055,2025-12-25,B03,Bronze,17,M,10330,Y
M0056,2026-07-25,B01,Bronze,34,M,10500,N
M0057,2026-07-26,B03,Bronze,37,M,10240,Y
M0058,2026-01-21,B08,Bronze,0,F,50200,N
M0059,2025-07-20,B05,Bronze,33,M,10900,N
M0060,2025-10-22,B01,Bronze,31,M,10330,Y
M0061,2024-08-07,B06,Bronze,16,F,10230,Y
M0062,2025-11-30,B01,Gold,36,M,10230,Y
M0063,2024-02-04,B05,Platinum,36,M,10240,Y
M0064,2025-10-12,B07,Bronze,20,M,50300,N
M0065,2025-04-10,B07,Platinum,17,F,50300,Y
M0066,2025-05-25,B07,Silver,27,F,50300,N
M0067,2024-09-06,B08,Bronze,38,F,50200,N
M0068,2026-05-13,B06,Bronze,41,F,10310,Y
M0069,2025-08-21,B01,Silver,33,,10230,Y
M0070,2024-12-27,B01,Silver,0,Other,10110,Y
M0071,2025-01-06,B01,Silver,34,M,10260,Y
M0072,2026-01-27,B04,Silver,17,F,10230,Y
M0073,2025-10-30,B07,Gold,28,M,50230,Y
M0074,2025-07-13,B07,Gold,27,F,50200,N
M0075,2025-04-19,B03,Bronze,29,F,10900,N
M0076,2024-08-05,B01,Silver,0,F,10240,Y
M0077,2026-01-23,B05,Silver,40,F,10400,Y
M0078,2025-01-24,B04,Bronze,36,M,10260,N
M0079,2024-12-19,B07,Gold,41,F,50300,N
M0080,2024-09-09,B07,Silver,35,M,50200,N
M0081,2024-05-18,B02,Bronze,52,F,10120,Y
M0082,2024-01-12,B01,Gold,36,F,10310,Y
M0083,2025-08-25,B05,Gold,37,M,10500,Y
M0084,2024-02-01,B01,Silver,36,F,10900,Y
M0085,2024-12-05,B03,Silver,26,F,10500,N
M0086,2025-05-15,B01,Gold,34,F,10260,Y
M0087,2026-04-30,B03,Bronze,42,,10240,N
M0088,2025-08-27,B05,Silver,28,,10230,Y
M0089,2026-01-28,B03,Bronze,0,F,10400,Y
M0090,2025-10-31,B04,Platinum,31,M,10120,Y
M0091,2025-06-06,B05,Bronze,23,,10110,Y
M0092,2026-01-31,B03,Bronze,29,F,10260,Y
M0093,2024-02-28,B04,Bronze,41,F,10230,N
M0094,2024-02-18,B06,Silver,38,M,10310,Y
M0095,2024-02-17,B05,Bronze,27,F,10110,N
M0096,2025-01-12,B05,Bronze,28,F,10120,Y
M0097,2024-06-26,B03,Bronze,45,F,10240,Y
M0098,2025-01-10,B05,Gold,31,M,10260,N
M0099,2025-12-23,B01,Gold,51,M,10310,Y
M0100,2025-07-20,B07,Bronze,0,F,50230,Y
M0101,2025-12-03,B03,Bronze,38,F,10310,Y
M0102,2025-12-07,B01,Bronze,39,M,10120,N
M0103,2026-05-18,B07,Bronze,46,F,50200,Y
M0104,2025-09-24,B08,Gold,32,F,50200,Y
M0105,2024-06-08,B05,Bronze,0,M,10310,Y
M0106,2026-05-13,B07,Bronze,30,F,50200,N
M0107,2025-05-27,B03,Gold,35,M,10240,Y
M0108,2025-06-23,B03,Gold,33,M,10310,Y
M0109,2026-06-14,B04,Bronze,38,M,10330,Y
M0110,2024-10-27,B03,Silver,31,M,10400,Y
M0111,2026-05-07,B04,Bronze,21,M,10400,N
M0112,2024-04-20,B03,Platinum,21,M,10900,Y
M0113,2025-10-30,B01,Silver,28,M,10110,N
M0114,2024-12-27,B08,Silver,24,F,50100,N
M0115,2024-07-03,B05,Silver,32,F,10310,N
M0116,2024-05-12,B04,Bronze,22,F,10110,Y
M0117,2026-04-04,B03,Silver,56,M,10900,N
M0118,2026-03-07,B02,Gold,0,M,10240,N
M0119,2024-09-25,B07,Gold,36,F,50100,Y
M0120,2025-09-01,B07,Gold,4,F,50000,Y
M0121,2024-10-07,B03,Silver,19,F,10330,N
M0122,2024-11-14,B05,Silver,32,F,10260,Y
M0123,2026-01-08,B05,Gold,0,M,10900,Y
M0124,2026-06-13,B07,Platinum,35,M,5020,Y
M0125,2024-02-22,B05,Silver,53,F,10310,N
M0126,2025-09-16,B07,Bronze,0,F,50100,Y
M0127,2024-02-12,B01,Bronze,33,F,10330,Y
M0128,2025-09-01,B07,Silver,30,M,50300,Y
M0129,2024-08-11,B06,Silver,28,F,10120,Y
M0130,2025-12-14,B08,Bronze,29,F,50100,N
M0131,2026-04-08,B06,Gold,34,F,10230,Y
