transaction_id,transaction_datetime,branch_id,member_id,member_tier,channel,product_category,quantity,unit_price,discount_amount,total_amount,payment_method,satisfaction_score
T000001,2025-10-01 08:46,B01,M0070,Bronze,App,Bakery,1,45,9.00,36.00,Credit Card,4
T000002,2025-10-01 09:34,B07,M0263,BRONZE,delivery,Bakery,4,50,0.00,200.00,QR PromptPay,
T000003,2025-10-01 11:39,B05,M0158,Silver,In-store,Merchandise,3,465,0.00,1395.00,QR PromptPay,2
T000004,2025-10-01 11:45,B08,M0066,Silver,In-store,Coffee,3,105,0.00,315.00,Cash,
T000005,2025-10-01 11:56,B03,,,In-store,Coffee,1,55,0.00,55.00,QR PromptPay,
T000006,2025-10-01 12:08,B04,,,Delivery,Bakery,1,65,0.00,65.00,Cash,4
T000007,2025-10-01 12:15,B05,M0051,Bronze,App,Coffee,1,80,0.00,80.00,App Wallet,
T000008,2025-10-01 12:44,B03,,,In-store,Bakery,2,50,0.00,100.00,QR PromptPay,
T000009,2025-10-01 13:26,B07,,,App,Coffee,4,70,0.00,280.00,Credit Card,
T000010,2025-10-01 13:30,B01,M0251,Bronze,Delivery,Merchandise,2,300,0.00,600.00,Cash,5
T000011,2025-10-01 15:52,B05,,,In-store,Merchandise,1,615,0.00,615.00,Cash,
T000012,2025-10-01 16:06,B03,M0031,Silver,App,Bakery,1,60,6.00,54.00,App Wallet,5
T000013,2025-10-01 16:14,B02,M0160,Bronze,In-store,Tea,2,95,0.00,190.00,Credit Card,5
T000014,2025-10-01 18:17,B6,,,In-store,Tea,2,70,0.00,140.00,Credit Card,
T000015,2025-10-01 19:23,B06,,,Delivery,Bakery,2,100,0.00,200.00,Cash,
T000016,2025-10-02 08:02,B08,M0050,Brz,In-store,Coffee,2,80,0.00,160.00,Credit Card,4
T000017,2025-10-02 08:07,B08,M0039,Silver,App,Coffee,4,120,0.00,480.00,App Wallet,
T000018,2025-10-02 08:11,B03,M9823,Bronze,Delivery,Coffee,3,70,0.00,210.00,Credit Card,
T000019,2025-10-02 08:42,B07,,,In-store,Tea,1,85,0.00,85.00,Cash,5
T000020,2025-10-02 08:51,B01,M0197,Silver,App,Coffee,1,85,0.00,85.00,Credit Card,4
T000021,2025-10-02 09:14,B03,M0249,Silver,App,Coffee,2,55,16.50,93.50,Credit Card,
T000022,2025-10-02 10:18,B05,M0091,Bronze,In-store,Coffee,1,95,0.00,95.00,Cash,
T000023,2025-10-02 11:40,B04,M0291,Bronze,In-store,Bakery,3,100,60.00,240.00,QR PromptPay,
T000024,2025-10-02 12:16,B07,,,In-store,Tea,1,80,0.00,80.00,QR PromptPay,
T000025,2025-10-02 12:27,B08,,,In-store,Coffee,4,105,0.00,420.00,QR PromptPay,
T000026,2025-10-02 14:04,B02,,,App,Coffee,1,105,0.00,105.00,Credit Card,3
T000027,2025-10-02 14:17,B05,,,In-store,Tea,2,85,0.00,170.00,Credit Card,
T000028,2025-10-02 16:59,B02,,,In-store,Coffee,2,110,0.00,220.00,Cash,5
T000029,2025-10-02 17:02,B08,,,In-store,Coffee,4,55,0.00,220.00,Credit Card,
T000030,2025-10-02 19:05,B02,,,App,Coffee,1,120,0.00,120.00,App Wallet,
T000031,2025-10-02 19:48,B02,M0143,Bronze,App,Tea,3,50,0.00,150.00,App Wallet,
T000032,2025-10-03 08:10,B04,M0153,Silver,In-store,Tea,2,75,0.00,150.00,QR PromptPay,5
T000033,2025-10-03 08:13,B06,M0246,Bronze,App,Bakery,2,85,0.00,170.00,Credit Card,
T000034,2025-10-03 08:47,B03,,,In-store,Coffee,2,70,0.00,140.00,QR PromptPay,
T000035,2025-10-03 08:59,B06,M0173,Silver,In store,Coffee,3,65,0.00,195.00,QR PromptPay,
T000036,2025-10-03 11:20,B04,,,In-store,Coffee,1,70,0.00,70.00,Credit Card,3
T000037,2025-10-03 11:27,B05,M0208,Silver,In-store,Coffee,1,65,0.00,65.00,QR PromptPay,3
T000038,2025-10-03 11:45,B02,,,In-store,Bakery,3,105,0.00,315.00,QR PromptPay,
T000039,2025-10-03 12:25,B03,M0110,Silver,In-store,Bakery,2,90,0.00,180.00,QR PromptPay,4
T000040,2025-10-03 12:59,B02,M0279,Bronze,App,Tea,4,75,0.00,300.00,Credit Card,
T000041,2025-10-03 14:09,B05,,,In-store,Merchandise,4,815,0.00,3260.00,Credit Card,
T000042,2025-10-03 14:15,B05,M0083,Gold,APP,Coffee,4,75,0.00,300.00,Credit Card,
T000043,2025-10-03 14:53,B07,M0074,Gold,In-store,Merchandise,1,395,0.00,395.00,Cash,
T000044,2025-10-03 15:18,B01,M0052,Bronze,in-store,Coffee,1,75,0.00,75.00,Credit Card,
T000045,2025-10-03 16:00,B01,M0022,Silver,In-store,Coffee,1,120,0.00,120.00,Cash,
T000046,2025-10-03 16:04,B03,,,In-store,Bakery,1,80,0.00,80.00,QR PromptPay,3
